#    frfrq      xpoln     frmsfd      msfdrat
#
1621.284668 303.364288 274.451447   1.105348 
1621.075806 291.535736 274.775696   1.060995 
1620.866821 291.792877 275.101166   1.060675 
1620.657715 292.821472 275.427826   1.063151 
1620.448853 302.335693 275.755096   1.096392 
1620.239746 306.321442 276.083710   1.109524 
1620.030884 307.992859 276.412842   1.114249 
1619.821777 315.642883 276.743256   1.140562 
1619.612915 325.799988 277.074127   1.175859 
1619.403809 321.878571 277.406281   1.160315 
1619.194946 312.107178 277.738861   1.123743 
1618.985840 345.278595 278.072540   1.241685 
1618.776978 311.207123 278.406616   1.117815 
1618.567993 289.221436 278.741638   1.037597 
1618.359009 330.750000 279.077362   1.185155 
1618.150024 284.592865 279.413727   1.018536 
1617.941040 281.700012 279.750763   1.006968 
1617.732056 282.085724 280.088409   1.007131 
1617.523071 282.407166 280.426666   1.007062 
1617.314087 282.664307 280.765472   1.006763 
1617.105103 282.985718 281.104828   1.006691 
1616.896118 283.242859 281.444672   1.006389 
1616.687012 283.564301 281.785187   1.006314 
1616.478149 283.885742 282.125763   1.006238 
1616.269165 284.271423 282.467010   1.006388 
1616.060303 284.464294 282.808411   1.005855 
1615.851196 284.850006 283.150543   1.006002 
1615.642334 285.107178 283.492676   1.005695 
1615.433228 282.857147 283.835541   0.996553 
1615.224365 284.914276 284.178223   1.002590 
1615.015259 286.135712 284.521606   1.005673 
1614.806274 286.457184 284.865021   1.005589 
1614.597290 285.685730 285.208679   1.001673 
1614.388306 284.721405 285.552521   0.997089 
1614.179321 287.421448 285.896606   1.005334 
1613.970459 287.807159 286.240784   1.005472 
1613.761475 288.064270 286.585510   1.005160 
1613.552490 288.385712 286.930573   1.005071 
1613.343506 288.707153 287.276062   1.004982 
1613.134521 289.157166 287.622040   1.005337 
1612.925537 289.542877 287.968414   1.005468 
1612.716431 289.864288 288.315552   1.005372 
1612.507568 289.478546 288.662811   1.002826 
1612.298462 289.092865 289.011047   1.000283 
1612.089600 290.057159 289.359528   1.002411 
1611.880493 290.250031 289.709076   1.001867 
1611.671631 290.699982 290.058899   1.002210 
1611.462646 290.699982 290.409668   1.001000 
1611.253784 291.278595 290.760986   1.001780 
1611.044678 291.664276 291.113525   1.001892 
1610.835693 292.049988 291.466675   1.002001 
1610.626709 292.500031 291.820740   1.002328 
1610.417725 292.757141 292.175690   1.001990 
1610.208740 293.142853 292.531586   1.002090 
1609.999756 293.721405 292.888489   1.002844 
1609.790771 294.171448 293.246399   1.003155 
1609.581787 294.685730 293.605377   1.003680 
1609.372803 295.328583 293.965454   1.004637 
1609.163940 295.778564 294.326416   1.004934 
1608.954956 296.292816 294.688843   1.005443 
1608.745850 297.128571 295.052612   1.007036 
1608.536987 298.607147 295.417206   1.010798 
1608.327881 299.571442 295.783539   1.012806 
1608.119019 300.214294 296.150726   1.013721 
1607.909912 301.500000 296.519745   1.016796 
1607.701050 302.335693 296.889618   1.018344 
1607.491943 303.492859 297.261444   1.020963 
1607.283081 304.842834 297.634247   1.024220 
1607.073975 305.549988 298.008972   1.025305 
1606.865112 307.607147 298.384857   1.030907 
1606.656128 308.185730 298.762451   1.031541 
1606.447144 310.435730 299.141693   1.037755 
1606.238159 313.007141 299.522583   1.045020 
1606.029175 313.457184 299.905151   1.045188 
1605.820190 343.092865 300.289429   1.142541 
1605.611206 379.992889 300.675446   1.263798 
1605.402222 365.464294 301.063293   1.213912 
1605.193237 342.707184 301.452911   1.136851 
1604.984253 348.364288 301.844360   1.154119 
1604.775269 337.242859 302.237793   1.115820 
1604.566284 326.185730 302.633118   1.077826 
1604.357300 327.600037 303.030457   1.081080 
1604.148438 324.835724 303.429504   1.070548 
1603.939331 324.128571 303.831055   1.066805 
1603.730469 325.221436 304.234253   1.068984 
1603.521362 330.492859 304.640045   1.084863 
1603.312500 334.092834 305.047516   1.095216 
1603.103394 333.964294 305.457611   1.093325 
1602.894531 344.378601 305.869568   1.125900 
1602.685425 345.857147 306.284149   1.129204 
1602.476440 356.078583 306.700806   1.160997 
1602.267456 390.664307 307.119873   1.272025 
1602.058472 381.664307 307.541229   1.241018 
1601.849609 341.357178 307.964752   1.108429 
1601.640625 330.557129 308.390991   1.071877 
1601.431641 335.442841 308.819672   1.086209 
1601.222656 349.907135 309.250946   1.131467 
1601.013672 358.071442 309.684723   1.156245 
1600.804688 340.907166 310.121094   1.099271 
1600.595703 329.399994 310.560089   1.060664 
1600.386597 330.364288 311.002014   1.062258 
1600.177734 333.192841 311.446136   1.069825 
1599.968628 334.928558 311.893494   1.073856 
1599.759766 338.335693 312.343109   1.083218 
1599.550781 361.735687 312.795746   1.156460 
1599.341919 372.857147 313.251038   1.190282 
1599.132812 352.350006 313.709747   1.123172 
1598.923950 335.699982 314.170746   1.068527 
1598.714844 335.442841 314.635315   1.066132 
1598.505859 380.250031 315.102570   1.206750 
1598.296875 440.485748 315.572906   1.395829 
1598.087891 411.107178 316.046265   1.300782 
1597.878906 345.021454 316.522736   1.090037 
1597.669922 332.678558 317.002289   1.049452 
1597.460938 335.057129 317.485107   1.055348 
1597.251953 330.621399 317.971069   1.039785 
1597.043091 330.942841 318.460052   1.039197 
1596.834106 328.242859 318.952576   1.029127 
1596.625122 326.185730 319.448364   1.021091 
1596.416016 324.578552 319.947876   1.014473 
1596.207153 322.457184 320.450165   1.006263 
1595.998047 321.750000 320.956451   1.002472 
1595.789185 321.685730 321.465607   1.000685 
1595.580078 322.907135 321.978912   1.002883 
1595.371216 324.578552 322.495117   1.006460 
1595.162109 325.735687 323.015503   1.008421 
1594.953247 326.378601 323.538849   1.008777 
1594.744263 326.957123 324.065826   1.008922 
1594.535400 326.828583 324.595642   1.006879 
1594.326294 325.992859 325.128967   1.002657 
1594.117310 324.385712 325.664612   0.996073 
1593.908325 322.200012 326.202667   0.987730 
1593.699341 319.950012 326.742889   0.979210 
1593.490356 319.564301 327.285095   0.976410 
1593.281372 322.007111 327.829010   0.982241 
1593.072388 327.921417 328.374420   0.998620 
1592.863403 337.178558 328.921051   1.025105 
1592.654419 349.071472 329.468719   1.059498 
1592.445312 363.857147 330.017456   1.102539 
1592.236572 380.442871 330.565826   1.150884 
1592.027466 398.957123 331.115417   1.204888 
1591.818604 417.985687 331.664459   1.260267 
1591.609497 439.457184 332.213989   1.322814 
1591.400635 462.149963 332.762512   1.388828 
1591.191528 484.842834 333.311005   1.454626 
1590.982666 505.800018 333.857971   1.515016 
1590.773560 523.478638 334.404510   1.565405 
1590.564697 535.885681 334.949127   1.599902 
1590.355591 541.542847 335.492767   1.614172 
1590.146606 539.485718 336.034302   1.605448 
1589.937744 528.685730 336.573486   1.570788 
1589.728760 509.592834 337.110718   1.511648 
1589.519775 483.107178 337.645508   1.430812 
1589.310791 452.764252 338.177521   1.338836 
1589.101807 421.007111 338.706543   1.242985 
1588.892822 391.049988 339.232391   1.152750 
1588.683838 365.464294 339.754791   1.075671 
1588.474854 346.371429 340.273529   1.017921 
1588.265869 334.607147 340.788361   0.981862 
1588.056763 330.107147 341.299316   0.967207 
